Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-03-31""";30.0;19.8;8.9;23.7;75.0;0.866667
"""1993-01-04""";27.6;19.8;5.9;23.22;79.0;1.8
"""1993-02-04""";26.8;18.4;4.2;21.66;93.0;0.966667
"""1993-03-04""";27.5;18.0;7.2;22.24;78.0;1.166667
"""1993-04-04""";28.4;18.4;5.5;21.98;85.0;0.9
"""1993-05-04""";28.4;18.8;5.6;22.62;75.75;2.0333330000000003
"""1993-06-04""";29.2;20.2;7.7;24.18;71.5;2.1
"""1993-07-04""";27.7;19.8;4.6;23.2;80.5;0.5
"""1993-08-04""";28.5;19.4;6.9;23.38;81.25;0.866667
"""1993-09-04""";27.0;19.2;6.4;22.78;79.0;1.8666669999999999
"""1993-10-04""";27.1;19.4;5.9;22.32;77.5;2.6
"""1993-11-04""";22.9;18.0;0.0;20.0;91.25;2.0333330000000003
"""1993-12-04""";23.7;18.0;1.7;20.52;75.25;2.733333
"""1993-04-13""";26.9;17.0;6.1;21.88;74.0;1.466667
"""1993-04-14""";28.3;18.4;7.2;23.26;69.25;1.033333
"""1993-04-15""";29.8;20.0;9.2;24.54;63.0;1.566667
"""1993-04-16""";28.2;16.0;5.9;21.82;72.5;0.7
"""1993-04-17""";27.6;19.2;8.7;22.26;72.0;1.8
"""1993-04-18""";27.2;19.8;9.4;22.98;68.5;1.7
"""1993-04-19""";27.3;19.2;8.4;23.44;65.25;2.3666669999999996
"""1993-04-20""";27.8;19.8;8.1;23.34;65.0;1.9
"""1993-04-21""";28.2;18.6;8.0;23.02;59.75;1.8
"""1993-04-22""";27.1;18.6;7.6;22.52;64.5;2.233333
"""1993-04-23""";27.7;19.4;NA;22.78;62.5;2.566667
"""1993-04-24""";27.4;18.6;4.2;22.66;67.5;0.8
"""1993-04-25""";28.3;18.8;10.0;22.76;61.75;1.7
"""1993-04-26""";28.7;18.0;9.4;22.76;56.5;2.0333330000000003
"""1993-04-27""";27.0;18.6;9.6;22.62;68.0;2.4
"""1993-04-28""";26.6;18.2;9.7;21.66;63.75;2.5333330000000003
"""1993-04-29""";26.7;18.2;8.9;21.88;67.25;2.0
"""1993-04-30""";25.1;18.2;5.9;21.36;71.0;1.666667
"""1993-01-05""";25.8;18.4;9.7;21.7;67.25;0.866667
"""1993-02-05""";26.2;18.4;9.9;21.54;70.25;1.8
